# x_m;y_m
-53.0000;135.0000
-51.0000;135.0000
-51.0000;137.0000
-51.0000;139.0000
-51.0000;147.0000
-51.0000;149.0000
-51.0000;151.0000
-51.0000;215.0000
-51.0000;219.0000
-51.0000;225.0000
-49.0000;131.0000
-49.0000;139.0000
-49.0000;141.0000
-49.0000;143.0000
-49.0000;157.0000
-49.0000;165.0000
-49.0000;169.0000
-49.0000;173.0000
-49.0000;175.0000
-49.0000;177.0000
-49.0000;213.0000
-49.0000;215.0000
-49.0000;223.0000
-47.0000;155.0000
-47.0000;157.0000
-47.0000;159.0000
-47.0000;163.0000
-47.0000;165.0000
-47.0000;169.0000
-47.0000;175.0000
-47.0000;177.0000
-47.0000;179.0000
-47.0000;187.0000
-47.0000;195.0000
-47.0000;197.0000
-47.0000;205.0000
-47.0000;207.0000
-47.0000;223.0000
-45.0000;131.0000
-45.0000;197.0000
-45.0000;201.0000
-45.0000;225.0000
-43.0000;133.0000
-43.0000;223.0000
-41.0000;133.0000
-41.0000;225.0000
-39.0000;133.0000
-39.0000;223.0000
-37.0000;129.0000
-37.0000;221.0000
-35.0000;129.0000
-35.0000;221.0000
-35.0000;223.0000
-33.0000;223.0000
-31.0000;129.0000
-31.0000;131.0000
-31.0000;223.0000
-29.0000;223.0000
-27.0000;219.0000
-23.0000;129.0000
-21.0000;221.0000
-19.0000;125.0000
-19.0000;219.0000
-17.0000;125.0000
-17.0000;127.0000
-15.0000;217.0000
-15.0000;219.0000
-13.0000;217.0000
-11.0000;123.0000
-11.0000;125.0000
-11.0000;217.0000
-9.0000;123.0000
-7.0000;125.0000
-7.0000;219.0000
-3.0000;125.0000
-3.0000;215.0000
-1.0000;215.0000
1.0000;121.0000
1.0000;125.0000
1.0000;215.0000
3.0000;121.0000
3.0000;217.0000
5.0000;121.0000
7.0000;217.0000
9.0000;121.0000
9.0000;123.0000
9.0000;213.0000
9.0000;217.0000
11.0000;121.0000
11.0000;123.0000
15.0000;213.0000
17.0000;215.0000
21.0000;119.0000
21.0000;215.0000
23.0000;211.0000
23.0000;213.0000
25.0000;211.0000
27.0000;121.0000
27.0000;211.0000
27.0000;213.0000
29.0000;117.0000
29.0000;119.0000
29.0000;213.0000
31.0000;117.0000
31.0000;119.0000
33.0000;117.0000
33.0000;211.0000
35.0000;117.0000
35.0000;119.0000
35.0000;211.0000
37.0000;119.0000
39.0000;119.0000
39.0000;209.0000
41.0000;115.0000
41.0000;211.0000
43.0000;209.0000
45.0000;115.0000
45.0000;117.0000
45.0000;209.0000
47.0000;115.0000
49.0000;207.0000
53.0000;209.0000
55.0000;113.0000
57.0000;119.0000
57.0000;209.0000
59.0000;119.0000
59.0000;123.0000
59.0000;209.0000
61.0000;125.0000
63.0000;127.0000
63.0000;207.0000
65.0000;125.0000
