# x_m,y_m,w_tr_right_m,w_tr_left_m
-6.9764,8.1014,1.0807,1.0807
-6.9093,8.0344,1.0807,1.0807
-6.9093,7.9673,1.0807,1.0807
-6.8423,7.9003,1.0807,1.0807
-6.8423,7.8333,1.0597,1.0597
-6.7753,7.7663,1.0807,1.0807
-6.7753,7.6993,1.0490,1.0490
-6.7083,7.6322,1.0807,1.0807
-6.7083,7.5652,1.0490,1.0490
-6.6413,7.4982,1.0807,1.0807
-6.6413,7.4312,1.0490,1.0490
-6.5742,7.3642,1.0807,1.0807
-6.5742,7.2971,1.0490,1.0490
-6.5072,7.2301,1.0807,1.0807
-6.5072,7.1631,1.0490,1.0490
-6.4402,7.0961,1.0807,1.0807
-6.4402,7.0291,1.0490,1.0490
-6.3732,6.9620,1.0807,1.0807
-6.3732,6.8950,1.0490,1.0490
-6.3062,6.8280,1.0807,1.0807
-6.3062,6.7610,1.0490,1.0490
-6.2391,6.6940,1.0807,1.0807
-6.2391,6.6269,1.0490,1.0490
-6.1721,6.5599,1.0807,1.0807
-6.1721,6.4929,1.0490,1.0490
-6.1051,6.4259,1.0807,1.0807
-6.1051,6.3589,1.0490,1.0490
-6.0381,6.2918,1.0807,1.0807
-6.0381,6.2248,1.0490,1.0490
-5.9711,6.1578,1.0807,1.0807
-5.9040,6.0908,1.0807,1.0807
-5.9040,6.0238,1.0807,1.0807
-5.8370,5.9567,1.0807,1.0807
-5.8370,5.8897,1.0597,1.0597
-5.7700,5.8227,1.0807,1.0807
-5.7700,5.7557,1.0490,1.0490
-5.7030,5.6887,1.0807,1.0807
-5.7030,5.6216,1.0490,1.0490
-5.6360,5.5546,1.0807,1.0807
-5.6360,5.4876,1.0490,1.0490
-5.5689,5.4206,1.0807,1.0807
-5.5689,5.3536,1.0490,1.0490
-5.5019,5.2865,1.0807,1.0807
-5.5019,5.2195,1.0490,1.0490
-5.4349,5.1525,1.0807,1.0807
-5.3679,5.0855,1.0490,1.0490
-5.3679,5.0185,1.0807,1.0807
-5.3009,4.9514,1.0597,1.0597
-5.3009,4.8844,1.0597,1.0597
-5.2338,4.8174,1.0807,1.0807
-5.2338,4.7504,1.0490,1.0490
-5.1668,4.6834,1.0807,1.0807
-5.0998,4.6163,1.0490,1.0490
-5.0998,4.5493,1.0807,1.0807
-5.0328,4.4823,1.0597,1.0597
-5.0328,4.4153,1.0597,1.0597
-4.9658,4.3483,1.0807,1.0807
-4.9658,4.2812,1.0490,1.0490
-4.8987,4.2142,1.0807,1.0807
-4.8317,4.1472,1.0597,1.0597
-4.8317,4.0802,1.0597,1.0597
-4.7647,4.0132,1.0807,1.0807
-4.7647,3.9461,1.0490,1.0490
-4.6977,3.8791,1.0807,1.0807
-4.6307,3.8121,1.0597,1.0597
-4.6307,3.7451,1.0597,1.0597
-4.5636,3.6781,1.0807,1.0807
-4.5636,3.6110,1.0469,1.0469
-4.4966,3.5440,1.0597,1.0597
-4.4296,3.4770,1.0807,1.0807
-4.4296,3.4100,1.0490,1.0490
-4.3626,3.3430,1.0807,1.0807
-4.2956,3.2759,1.0597,1.0597
