# x_m,y_m,w_tr_right_m,w_tr_left_m
-55.2376,21.2904,1.2830,1.2830
-55.1726,21.2254,1.2830,1.2830
-55.1075,21.1603,1.2630,1.2630
-55.0425,21.0953,1.2496,1.2496
-54.9774,21.0302,1.2428,1.2428
-54.9124,20.9652,1.2428,1.2428
-54.9124,20.9001,1.2496,1.2496
-54.8473,20.8351,1.2630,1.2630
-54.7823,20.7700,1.2830,1.2830
-54.7172,20.7050,1.2830,1.2830
-54.6522,20.6399,1.2630,1.2630
-54.5871,20.5749,1.2496,1.2496
-54.5221,20.5098,1.2428,1.2428
-54.5221,20.4448,1.2496,1.2496
-54.4570,20.3797,1.2630,1.2630
-54.3920,20.3147,1.2830,1.2830
-54.3269,20.2496,1.2830,1.2830
-54.2619,20.1846,1.2630,1.2630
-54.1968,20.1195,1.2496,1.2496
-54.1318,20.0545,1.2428,1.2428
-54.1318,19.9894,1.2496,1.2496
-54.0667,19.9244,1.2630,1.2630
-54.0017,19.8593,1.2830,1.2830
-53.9366,19.7943,1.2830,1.2830
-53.8716,19.7292,1.2630,1.2630
-53.8065,19.6642,1.2496,1.2496
-53.7415,19.5991,1.2428,1.2428
-53.6764,19.5341,1.2428,1.2428
-53.6764,19.4690,1.2496,1.2496
-53.6114,19.4040,1.2630,1.2630
-53.5463,19.3389,1.2830,1.2830
-53.4813,19.2739,1.2630,1.2630
-53.4162,19.2088,1.2496,1.2496
-53.3512,19.1438,1.2428,1.2428
-53.2861,19.0787,1.2428,1.2428
-53.2861,19.0137,1.2496,1.2496
-53.2211,18.9486,1.2630,1.2630
-53.1560,18.8836,1.2830,1.2830
-53.0910,18.8185,1.2630,1.2630
-53.0259,18.7535,1.2496,1.2496
-52.9609,18.6884,1.2428,1.2428
-52.8958,18.6234,1.2428,1.2428
-52.8958,18.5583,1.2496,1.2496
-52.8308,18.4933,1.2630,1.2630
-52.7657,18.4282,1.2830,1.2830
-52.7007,18.3632,1.2630,1.2630
-52.6356,18.2981,1.2496,1.2496
-52.5706,18.2331,1.2428,1.2428
-52.5706,18.1680,1.2496,1.2496
-52.5055,18.1030,1.2630,1.2630
-52.4405,18.0379,1.2830,1.2830
-52.3754,17.9729,1.2830,1.2830
-52.3104,17.9078,1.2630,1.2630
-52.2453,17.8428,1.2496,1.2496
-52.1803,17.7777,1.2428,1.2428
-52.1803,17.7127,1.2496,1.2496
-52.1152,17.6476,1.2630,1.2630
-52.0502,17.5826,1.2830,1.2830
-51.9851,17.5175,1.2630,1.2630
-51.9201,17.4525,1.2496,1.2496
-51.8550,17.3874,1.2428,1.2428
-51.7900,17.3224,1.2428,1.2428
-51.7900,17.2573,1.2496,1.2496
-51.7249,17.1923,1.2630,1.2630
-51.6599,17.1272,1.2830,1.2830
-51.5948,17.0622,1.2630,1.2630
-51.5298,16.9971,1.2496,1.2496
-51.4647,16.9321,1.2428,1.2428
-51.3997,16.8670,1.2428,1.2428
-51.3997,16.8020,1.2496,1.2496
-51.3346,16.7369,1.2630,1.2630
-51.2696,16.6719,1.2830,1.2830
-51.2045,16.6068,1.2630,1.2630
-51.1395,16.5418,1.2496,1.2496
-51.0744,16.4767,1.2428,1.2428
-51.0744,16.4117,1.2496,1.2496
-51.0094,16.3466,1.2630,1.2630
-50.9443,16.2816,1.2830,1.2830
-50.8793,16.2165,1.2630,1.2630
-50.8142,16.1515,1.2496,1.2496
-50.7492,16.0864,1.2428,1.2428
-50.7492,16.0214,1.2496,1.2496
-50.6841,15.9563,1.2630,1.2630
-50.6191,15.8913,1.2830,1.2830
-50.5540,15.8262,1.2630,1.2630
-50.4890,15.7612,1.2496,1.2496
-50.4239,15.6961,1.2428,1.2428
-50.3589,15.6311,1.2428,1.2428
-50.3589,15.5660,1.2496,1.2496
-50.2938,15.5010,1.2630,1.2630
-50.2288,15.4359,1.2830,1.2830
-50.1637,15.3709,1.2630,1.2630
-50.0987,15.3058,1.2496,1.2496
-50.0336,15.2408,1.2428,1.2428
-50.0336,15.1757,1.2496,1.2496
-49.9686,15.1107,1.2630,1.2630
-49.9035,15.0456,1.2830,1.2830
-49.8385,14.9806,1.2630,1.2630
-49.7734,14.9155,1.2496,1.2496
-49.7084,14.8505,1.2428,1.2428
-49.7084,14.7854,1.2496,1.2496
-49.6433,14.7204,1.2630,1.2630
-49.5783,14.6553,1.2830,1.2830
-49.5132,14.5903,1.2630,1.2630
-49.4482,14.5252,1.2496,1.2496
-49.3831,14.4602,1.2428,1.2428
-49.3831,14.3951,1.2496,1.2496
-49.3181,14.3301,1.2630,1.2630
-49.2530,14.2650,1.2830,1.2830
-49.1880,14.2000,1.2630,1.2630
-49.1229,14.1349,1.2496,1.2496
-49.0579,14.0699,1.2428,1.2428
-49.0579,14.0048,1.2496,1.2496
-48.9928,13.9398,1.2630,1.2630
-48.9278,13.8747,1.2830,1.2830
-48.8627,13.8097,1.2630,1.2630
-48.7977,13.7446,1.2496,1.2496
-48.7326,13.6796,1.2428,1.2428
-48.7326,13.6145,1.2496,1.2496
-48.6676,13.5495,1.2630,1.2630
-48.6025,13.4844,1.2830,1.2830
-48.5375,13.4194,1.2630,1.2630
-48.4724,13.3543,1.2496,1.2496
-48.4074,13.2893,1.2428,1.2428
-48.4074,13.2242,1.2496,1.2496
-48.3423,13.1592,1.2630,1.2630
-48.2773,13.0941,1.2830,1.2830
-48.2122,13.0291,1.2630,1.2630
-48.1472,12.9640,1.2496,1.2496
-48.0821,12.8990,1.2428,1.2428
-48.0821,12.8339,1.2496,1.2496
-48.0171,12.7689,1.2630,1.2630
-47.9520,12.7038,1.2830,1.2830
-47.8870,12.6388,1.2630,1.2630
-47.8219,12.5737,1.2496,1.2496
-47.7569,12.5087,1.2428,1.2428
-47.7569,12.4436,1.2496,1.2496
-47.6918,12.3786,1.2630,1.2630
-47.6268,12.3135,1.2830,1.2830
-47.5617,12.2485,1.2630,1.2630
-47.4967,12.1834,1.2496,1.2496
-47.4316,12.1184,1.2428,1.2428
-47.4316,12.0533,1.2496,1.2496
-47.3666,11.9883,1.2630,1.2630
-47.3015,11.9232,1.2830,1.2830
-47.2365,11.8582,1.2630,1.2630
-47.1714,11.7931,1.2496,1.2496
-47.1064,11.7281,1.2428,1.2428
-47.1064,11.6630,1.2496,1.2496
-47.0413,11.5980,1.2630,1.2630
-46.9763,11.5329,1.2830,1.2830
-46.9112,11.4679,1.2630,1.2630
-46.8462,11.4028,1.2496,1.2496
-46.7811,11.3378,1.2428,1.2428
-46.7811,11.2727,1.2496,1.2496
-46.7161,11.2077,1.2630,1.2630
-46.6510,11.1426,1.2830,1.2830
-46.5860,11.0776,1.2630,1.2630
-46.5209,11.0125,1.2496,1.2496
-46.4559,10.9475,1.2428,1.2428
-46.4559,10.8824,1.2496,1.2496
-46.3908,10.8174,1.2630,1.2630
-46.3258,10.7523,1.2830,1.2830
-46.2607,10.6873,1.2630,1.2630
-46.1957,10.6222,1.2496,1.2496
-46.1306,10.5572,1.2428,1.2428
-46.1306,10.4921,1.2496,1.2496
-46.0656,10.4271,1.2630,1.2630
-46.0005,10.3620,1.2830,1.2830
-45.9355,10.2970,1.2630,1.2630
-45.8704,10.2319,1.2496,1.2496
-45.8054,10.1669,1.2428,1.2428
-45.8054,10.1018,1.2496,1.2496
-45.7403,10.0368,1.2630,1.2630
-45.6753,9.9717,1.2830,1.2830
-45.6102,9.9067,1.2630,1.2630
-45.5452,9.8416,1.2496,1.2496
-45.4801,9.7766,1.2428,1.2428
-45.4801,9.7115,1.2496,1.2496
-45.4151,9.6465,1.2630,1.2630
-45.3500,9.5814,1.2830,1.2830
-45.2850,9.5164,1.2630,1.2630
-45.2199,9.4513,1.2496,1.2496
-45.1549,9.3863,1.2428,1.2428
-45.1549,9.3212,1.2496,1.2496
-45.0898,9.2562,1.2630,1.2630
-45.0248,9.1911,1.2830,1.2830
-44.9597,9.1261,1.2630,1.2630
-44.8947,9.0610,1.2496,1.2496
-44.8296,8.9960,1.2428,1.2428
-44.8296,8.9309,1.2496,1.2496
-44.7646,8.8659,1.2630,1.2630
-44.6995,8.8008,1.2830,1.2830
