# x_m,y_m,w_tr_right_m,w_tr_left_m
-48.2399,164.6018,0.7735,0.7735
-48.2399,164.6662,0.7735,0.7735
-48.2399,164.7307,0.7735,0.7735
-48.2399,164.7952,0.7735,0.7735
-48.2399,164.8596,0.7735,0.7735
-48.2399,164.9241,0.7735,0.7735
-48.2399,164.9885,0.7735,0.7735
-48.2399,165.0530,0.7735,0.7735
-48.1754,165.1175,0.8380,0.8380
-48.1110,165.1819,0.8380,0.8380
-48.1110,165.2464,0.8380,0.8380
-48.1110,165.3108,0.8380,0.8380
-48.1110,165.3753,0.8380,0.8380
-48.1110,165.4398,0.8380,0.8380
-48.1110,165.5042,0.8380,0.8380
-48.1110,165.5687,0.8380,0.8380
-48.1110,165.6331,0.8380,0.8380
-48.1110,165.6976,0.8154,0.8154
-48.1110,165.7621,0.7973,0.7973
-48.1110,165.8265,0.7842,0.7842
-48.1110,165.8910,0.7762,0.7762
-48.1110,165.9554,0.7735,0.7735
-48.1110,166.0199,0.7735,0.7735
-48.1110,166.0844,0.7735,0.7735
-48.1110,166.1488,0.7735,0.7735
-48.1110,166.2133,0.7735,0.7735
-48.1110,166.2777,0.7735,0.7735
-48.1110,166.3422,0.7735,0.7735
-48.1110,166.4067,0.7735,0.7735
-48.1110,166.4711,0.7735,0.7735
-48.1110,166.5356,0.7735,0.7735
-48.0465,166.6000,0.8380,0.8380
-47.9821,166.6645,0.8380,0.8380
-47.9821,166.7290,0.8380,0.8380
-47.9821,166.7934,0.8380,0.8380
-47.9821,166.8579,0.8380,0.8380
-47.9821,166.9223,0.8380,0.8380
-47.9821,166.9868,0.8405,0.8405
-47.9821,167.0513,0.8478,0.8478
-47.9821,167.1157,0.8600,0.8600
-47.9821,167.1802,0.8380,0.8380
-47.9821,167.2446,0.8154,0.8154
-47.9821,167.3091,0.7973,0.7973
-47.9821,167.3736,0.7842,0.7842
-47.9821,167.4380,0.7762,0.7762
-47.9821,167.5025,0.7735,0.7735
-47.9821,167.5669,0.7735,0.7735
-47.9821,167.6314,0.7735,0.7735
-47.9821,167.6959,0.7735,0.7735
-47.9176,167.7603,0.8380,0.8380
-47.8531,167.8248,0.8380,0.8380
-47.8531,167.8892,0.8380,0.8380
-47.8531,167.9537,0.8380,0.8380
-47.8531,168.0182,0.8380,0.8380
-47.8531,168.0826,0.8380,0.8380
-47.8531,168.1471,0.8380,0.8380
-47.8531,168.2115,0.8380,0.8380
-47.8531,168.2760,0.8405,0.8405
-47.8531,168.3405,0.8380,0.8380
-47.8531,168.4049,0.8154,0.8154
-47.8531,168.4694,0.7973,0.7973
-47.8531,168.5338,0.7842,0.7842
-47.8531,168.5983,0.7762,0.7762
-47.8531,168.6628,0.7735,0.7735
-47.8531,168.7272,0.7735,0.7735
-47.8531,168.7917,0.7735,0.7735
-47.8531,168.8561,0.7735,0.7735
-47.8531,168.9206,0.7735,0.7735
-47.7887,168.9851,0.8380,0.8380
-47.7242,169.0495,0.8380,0.8380
-47.7242,169.1140,0.8380,0.8380
-47.7242,169.1784,0.8380,0.8380
-47.7242,169.2429,0.8380,0.8380
-47.7242,169.3074,0.8380,0.8380
-47.7242,169.3718,0.8380,0.8380
-47.7242,169.4363,0.8380,0.8380
-47.7242,169.5007,0.8380,0.8380
-47.7242,169.5652,0.8154,0.8154
-47.7242,169.6297,0.7973,0.7973
-47.7242,169.6941,0.7842,0.7842
-47.7242,169.7586,0.7762,0.7762
-47.7242,169.8230,0.7735,0.7735
-47.6598,169.8875,0.7735,0.7735
-47.6598,169.9520,0.7735,0.7735
-47.6598,170.0164,0.7735,0.7735
-47.6598,170.0809,0.7762,0.7762
-47.6598,170.1453,0.7842,0.7842
-47.6598,170.2098,0.7973,0.7973
-47.6598,170.2743,0.7789,0.7789
-47.6598,170.3387,0.7545,0.7545
-47.6598,170.4032,0.7350,0.7350
-47.6598,170.4676,0.7207,0.7207
-47.6598,170.5321,0.7120,0.7120
-47.6598,170.5966,0.7091,0.7091
-47.6598,170.6610,0.7091,0.7091
-47.6598,170.7255,0.7091,0.7091
-47.5953,170.7899,0.7735,0.7735
-47.5953,170.8544,0.7735,0.7735
-47.5953,170.9189,0.7735,0.7735
-47.5953,170.9833,0.7735,0.7735
-47.5308,171.0478,0.7735,0.7735
-47.5308,171.1122,0.7735,0.7735
-47.5308,171.1767,0.7735,0.7735
-47.5308,171.2412,0.7735,0.7735
-47.5308,171.3056,0.7735,0.7735
-47.5308,171.3701,0.7735,0.7735
-47.5308,171.4345,0.7735,0.7735
-47.5308,171.4990,0.7545,0.7545
-47.5308,171.5635,0.7350,0.7350
-47.5308,171.6279,0.7207,0.7207
-47.5308,171.6924,0.7120,0.7120
-47.5308,171.7568,0.7091,0.7091
-47.5308,171.8213,0.7091,0.7091
-47.5308,171.8858,0.7091,0.7091
-47.5308,171.9502,0.7091,0.7091
-47.5308,172.0147,0.7091,0.7091
-47.5308,172.0791,0.7091,0.7091
-47.5308,172.1436,0.7091,0.7091
-47.5308,172.2081,0.7091,0.7091
-47.5308,172.2725,0.7091,0.7091
-47.4664,172.3370,0.7735,0.7735
-47.4664,172.4014,0.7735,0.7735
-47.4664,172.4659,0.7735,0.7735
-47.4664,172.5304,0.7735,0.7735
-47.4664,172.5948,0.7735,0.7735
-47.4664,172.6593,0.7735,0.7735
